Содержание,Сервис,Статус,Функциональная группа,Крайний срок,Дата обращения,Тип обращения на момент подачи,Тип обращения итоговый,Решение,Тип переклассификации,Дата восстановления,Дата закрытия обращения,Система,Место,Ранг важности,День недели обращения,Месяц обращения,Час обращения,День года обращения,Время с обращения до восстановления,Время с обращения до закрытия,Время с обращения до крайнего срока,Время с восстановления до крайнего срока,Время с закрытия до крайнего срока
тест,0,0,1,2018-01-24 07:42:00,2018-01-19 09:27:00,1,1,тест,0,2018-01-19 09:43:00,2018-01-19 09:43:00,0,1001,1,4,1,9,19,960,960,425700,424740,424740
тестовое обращение,0,0,1,2018-01-24 10:51:00,2018-01-19 09:36:00,1,1,тест,0,2018-01-19 09:41:00,2018-01-19 09:41:00,0,1001,1,4,1,9,19,300,300,436500,436200,436200
выполнена разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-25 22:47:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-25 22:47:00,2018-02-02 07:52:00,7,190,12,3,1,22,25,0,637500,464640,464640,-172860
включается пк,0,1,390,2018-01-28 05:50:00,2018-01-25 23:13:00,0,0,выход стоя бп заменён,0,2018-01-25 23:55:00,2018-01-26 00:00:00,0,177,1,3,1,23,25,2520,2820,196620,194100,193800
заявка,0,1,303,2018-02-03 02:51:00,2018-01-25 23:39:00,1,1,работы обращению выполнены,0,2018-01-28 02:54:00,2018-02-04 07:53:00,0,216,0,3,1,23,25,184500,807240,702720,518220,-104520
заявка,0,1,372,2018-01-31 07:51:00,2018-01-25 23:39:00,1,1,доступ заблокирован,0,2018-01-26 03:19:00,2018-02-02 07:52:00,62,216,0,3,1,23,25,13200,634380,461520,448320,-172860
заявка,0,1,303,2018-02-01 02:51:00,2018-01-25 23:39:00,1,1,работы обращению выполнены,0,2018-01-26 03:11:00,2018-02-02 07:52:00,0,216,0,3,1,23,25,12720,634380,529920,517200,-104460
заявка,0,1,303,2018-02-01 02:51:00,2018-01-25 23:39:00,1,1,работы обращению выполнены,0,2018-01-26 03:15:00,2018-02-02 07:52:00,0,216,0,3,1,23,25,12960,634380,529920,516960,-104460
заявка,0,1,372,2018-01-31 07:51:00,2018-01-25 23:39:00,1,1,доступ заблокирован,0,2018-01-26 03:20:00,2018-02-02 07:52:00,62,216,0,3,1,23,25,13260,634380,461520,448260,-172860
заявка,21,1,303,2018-02-01 02:51:00,2018-01-25 23:39:00,1,1,работы обращению выполнены,0,2018-01-26 04:41:00,2018-02-02 07:52:00,21,216,11,3,1,23,25,18120,634380,529920,511800,-104460
заявка,58,1,303,2018-02-01 02:51:00,2018-01-25 23:39:00,1,1,работы обращению выполнены,0,2018-01-26 07:52:00,2018-02-02 09:13:00,58,216,11,3,1,23,25,29580,639240,529920,500340,-109320
пэвм периодически работает повышенным шумом,0,1,48,2018-02-02 14:36:00,2018-01-25 23:45:00,1,1,выполнен ремонт системы охлаждения блока питания системного блока,0,2018-01-31 12:36:00,2018-02-09 14:07:00,0,19,1,3,1,23,25,478260,1261320,658260,180000,-603060
запрос изменение учетной записи система21,21,0,360,2018-01-31 07:51:00,2018-01-25 23:49:00,1,1,запрос отменён пользователем портала самообслуживания,0,2018-01-26 00:36:00,2018-01-26 00:36:00,21,197,12,3,1,23,25,2820,2820,460920,458100,458100
заблокировать учетную запись пользователя система21,21,1,283,2018-01-31 07:51:00,2018-01-26 00:11:00,1,1,дана консультация,0,2018-01-26 00:49:00,2018-02-02 07:52:00,21,257,11,4,1,0,26,2280,632460,459600,457320,-172860
многочисленные обращения пользователей отсутствует авторизация система304,347,1,136,2018-01-28 12:36:00,2018-01-26 00:35:00,0,0,сбой репликации данных сервера система304 среды управления применено обходное решение,0,2018-01-26 03:26:00,2018-02-02 09:37:00,304,1,2,4,1,0,26,10260,637320,216060,205800,-421260
выполнена разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 00:41:00,1,1,выполнена разблокировка уз ne_boss идентификация пользователя осуществлена объект доступа легален причина нарушения несколько неправильный ввод пароля,0,2018-01-26 00:41:00,2018-01-26 08:47:00,7,222,12,4,1,0,26,0,29160,457800,457800,428640
штатное отключение уз,7,1,528,2018-01-31 07:51:00,2018-01-26 00:43:00,1,1,исполнено,0,2018-01-27 01:13:00,2018-01-27 02:12:00,7,172,12,4,1,0,26,88200,91740,457680,369480,365940
штатное отключение уз,7,1,528,2018-01-31 07:51:00,2018-01-26 00:44:00,1,1,выполнено,0,2018-01-26 01:12:00,2018-01-26 02:13:00,7,172,12,4,1,0,26,1680,5340,457620,455940,452280
заменадобавление сертификат сервере система13,13,1,13,2018-01-31 07:51:00,2018-01-26 00:52:00,1,1,приложенный атф зарегистрирован сисстема398 соответствии заявкой,0,2018-01-27 00:30:00,2018-02-03 07:52:00,13,216,11,4,1,0,26,85080,716400,457140,372060,-259260
изменение атрибутов учётной записи,7,0,13,2018-01-31 07:51:00,2018-01-26 01:34:00,1,1,тестовый запрос,0,2018-01-26 01:38:00,2018-01-26 01:38:00,7,20,11,4,1,1,26,240,240,454620,454380,454380
разблокировать уз интернет сегменте,0,1,303,2018-01-31 07:51:00,2018-01-26 01:39:00,1,1,пользователь разблокирован,0,2018-01-26 01:56:00,2018-02-02 07:52:00,0,159,1,4,1,1,26,1020,627180,454320,453300,-172860
заявка,0,1,217,2018-02-01 03:51:00,2018-01-26 01:52:00,1,1,работы обращению выполнены,0,2018-01-27 00:58:00,2018-02-03 07:52:00,0,143,0,4,1,1,26,83160,712800,525540,442380,-187260
заявка,0,1,217,2018-02-01 03:51:00,2018-01-26 01:52:00,1,1,работы обращению выполнены,0,2018-01-26 10:32:00,2018-02-02 11:49:00,0,143,0,4,1,1,26,31200,640620,525540,494340,-115080
заявка,95,1,217,2018-02-01 03:51:00,2018-01-26 01:52:00,1,1,работы обращению выполнены,0,2018-01-27 00:59:00,2018-02-03 07:52:00,94,143,0,4,1,1,26,83220,712800,525540,442320,-187260
заявка,205,1,217,2018-02-01 03:51:00,2018-01-26 01:52:00,1,1,работы обращению выполнены,0,2018-01-27 00:58:00,2018-02-03 07:52:00,218,143,0,4,1,1,26,83160,712800,525540,442380,-187260
заявка предоставление отзыв прав доступа ресурсам,12,1,13,2018-01-31 07:51:00,2018-01-26 02:05:00,1,1,выполнено отключение пя,0,2018-01-26 05:40:00,2018-02-02 07:52:00,133,143,11,4,1,2,26,12900,625620,452760,439860,-172860
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-01-28 06:36:00,2018-01-26 02:06:00,1,1,работы обращению выполнены,0,2018-01-26 05:48:00,2018-02-02 07:52:00,13,177,11,4,1,2,26,13320,625560,189000,175680,-436560
заявка предоставление отзыв прав доступа ресурсам,13,1,13,2018-01-28 02:36:00,2018-01-26 02:07:00,1,1,работы обращению выполнены,0,2018-01-27 00:08:00,2018-02-03 07:52:00,13,177,11,4,1,2,26,79260,711900,174540,95280,-537360
заявка предоставление отзыв прав доступа ресурсам,71,1,13,2018-01-28 02:36:00,2018-01-26 02:08:00,1,1,работы обращению выполнены,0,2018-01-26 03:30:00,2018-02-02 07:52:00,138,181,0,4,1,2,26,4920,625440,174480,169560,-450960
заявка,7,1,825,2018-01-31 07:51:00,2018-01-26 02:09:00,1,1,доступ прекращен зоне своей ответственности,0,2018-01-26 09:55:00,2018-02-02 11:13:00,7,143,11,4,1,2,26,27960,637440,452520,424560,-184920
заявка,0,1,217,2018-01-31 07:51:00,2018-01-26 02:09:00,1,1,заявка выполнена,0,2018-01-28 04:36:00,2018-02-04 07:53:00,0,143,0,4,1,2,26,181620,798240,452520,270900,-345720
разблокировать учетную запись пользователя система21,21,1,572,2018-01-31 07:51:00,2018-01-26 02:14:00,1,1,пользователь разблокирован система21,0,2018-01-26 10:21:00,2018-01-27 03:10:00,21,106,11,4,1,2,26,29220,89760,452220,423000,362460
сервисы sns1 базовые сервисы,2,1,555,2018-01-31 07:51:00,2018-01-26 02:21:00,1,1,исполнено,0,2018-01-27 01:17:00,2018-02-03 07:52:00,2,172,0,4,1,2,26,82560,711060,451800,369240,-259260
разблокировка пэвм,0,1,329,2018-01-31 07:51:00,2018-01-26 02:28:00,1,1,выполнена разблокировка пересчет эталонов кц,0,2018-01-26 02:36:00,2018-02-07 08:43:00,0,191,1,4,1,2,26,480,1059300,451380,450900,-607920
заявка,154,1,628,2018-01-31 07:51:00,2018-01-26 02:36:00,1,1,заявка выполнена,0,2018-01-27 03:55:00,2018-02-03 07:52:00,97,143,7,4,1,2,26,91140,710160,450900,359760,-259260
заявка,154,1,217,2018-02-01 03:51:00,2018-01-26 02:36:00,1,1,работы обращению выполнены,0,2018-01-27 04:21:00,2018-02-03 07:52:00,97,143,7,4,1,2,26,92700,710160,522900,430200,-187260
заявка,154,1,628,2018-01-31 07:51:00,2018-01-26 02:36:00,1,1,заявка выполнена,0,2018-01-27 03:58:00,2018-02-03 07:52:00,97,143,7,4,1,2,26,91320,710160,450900,359580,-259260
заявка,0,1,303,2018-02-03 03:51:00,2018-01-26 02:36:00,1,1,работы обращению выполнены,0,2018-01-27 08:30:00,2018-02-03 09:45:00,0,216,0,4,1,2,26,107640,716940,695700,588060,-21240
заявка,0,1,303,2018-02-11 05:06:00,2018-01-26 02:36:00,1,1,работы обращению выполнены,0,2018-01-27 03:51:00,2018-02-03 07:52:00,0,216,0,4,1,2,26,90900,710160,1391400,1300500,681240
заявка,154,1,217,2018-02-01 03:51:00,2018-01-26 02:36:00,1,1,работы обращению выполнены,0,2018-01-27 04:13:00,2018-02-03 07:52:00,97,143,7,4,1,2,26,92220,710160,522900,430680,-187260
заявка,21,1,217,2018-02-01 03:51:00,2018-01-26 02:36:00,1,1,работы обращению выполнены,0,2018-01-27 03:33:00,2018-02-03 07:52:00,21,143,11,4,1,2,26,89820,710160,522900,433080,-187260
заявка предоставление отзыв прав доступа ресурсам,41,1,13,2018-01-31 03:53:00,2018-01-26 02:38:00,1,1,работы обращению выполнены,0,2018-01-26 09:58:00,2018-02-02 11:13:00,43,177,0,4,1,2,26,26400,635700,436500,410100,-199200
разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 02:47:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 02:47:00,2018-01-26 02:59:00,7,173,12,4,1,2,26,0,720,450240,450240,449520
настройкаконсультация техническое обслуживание,18,1,18,2018-01-31 07:51:00,2018-01-26 02:48:00,1,1,добрый день контрагент добавлен справочник поставщики подрядчики исполнители наличии дополнительных вопросов просьба перезвонить тел,0,2018-01-26 03:32:00,2018-01-26 04:09:00,18,141,4,4,1,2,26,2640,4860,450180,447540,445320
выполнить установкуудаление,0,1,335,2018-01-31 07:51:00,2018-01-26 02:55:00,1,1,выполнено,0,2018-01-27 06:21:00,2018-01-27 06:58:00,0,146,0,4,1,2,26,98760,100980,449760,351000,348780
выполнить установкуудаление,0,1,335,2018-01-31 07:51:00,2018-01-26 02:56:00,1,1,выполнено,0,2018-01-27 06:24:00,2018-01-27 06:58:00,0,146,0,4,1,2,26,98880,100920,449700,350820,348780
выполнить установкуудаление,0,1,335,2018-01-31 07:51:00,2018-01-26 02:56:00,1,1,выполнено,0,2018-01-27 06:25:00,2018-01-27 06:58:00,0,146,0,4,1,2,26,98940,100920,449700,350760,348780
выполнить установкуудаление,0,1,335,2018-01-31 07:51:00,2018-01-26 02:56:00,1,1,выполнено,0,2018-01-27 06:26:00,2018-01-27 06:57:00,0,146,0,4,1,2,26,99000,100860,449700,350700,348840
выполнить установкуудаление,0,1,335,2018-01-31 07:51:00,2018-01-26 02:57:00,1,1,выполнено,0,2018-01-27 06:22:00,2018-01-27 06:58:00,0,146,0,4,1,2,26,98700,100860,449640,350940,348780
разблокировать доменную учетную запись пользовател,0,0,430,2018-01-31 07:51:00,2018-01-26 02:57:00,1,1,запрос отменён пользователем портала самообслуживания,0,2018-01-26 04:49:00,2018-01-26 04:49:00,0,106,1,4,1,2,26,6720,6720,449640,442920,442920
выполнить установкуудаление,0,1,287,2018-01-31 07:51:00,2018-01-26 03:06:00,1,1,выполнено,0,2018-01-27 05:12:00,2018-02-03 07:52:00,0,149,0,4,1,3,26,93960,708360,449100,355140,-259260
разблокировка уз region,7,1,8,2018-01-31 07:51:00,2018-01-26 03:09:00,1,1,выполнена разблокировка уз ne_boss пользователь идентифицирован причина блокировки пользователю ясна,0,2018-01-26 03:09:00,2018-01-26 04:16:00,7,67,12,4,1,3,26,0,4020,448920,448920,444900
заявка,7,1,430,2018-01-31 07:51:00,2018-01-26 03:21:00,1,1,выполнено,0,2018-01-27 02:21:00,2018-02-03 07:52:00,7,106,11,4,1,3,26,82800,707460,448200,365400,-259260
запрос организацию брм,0,1,547,2018-02-07 02:51:00,2018-01-26 03:28:00,1,1,работы обращению выполнены,0,2018-02-01 08:03:00,2018-02-01 08:08:00,0,191,0,4,1,3,26,534900,535200,1034580,499680,499380
заявка предоставление отзыв прав доступа ресурсам,22,1,62,2018-02-02 16:36:00,2018-01-26 03:33:00,1,1,выполнено переименование уз инициатора оказана консультация оформлению заявки добавление разделителя,0,2018-02-01 04:06:00,2018-02-08 07:55:00,101,18,7,4,1,3,26,520380,1138920,651780,131400,-487140
